20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_ANTH.html,ANTH    121,L&S,4.0,Optional,M,1:00pm - 1:50pm,HSSB 1021,27 / 25
20201_ANTH.html,ANTH    121,L&S,4.0,Optional,M,2:00pm - 2:50pm,HSSB 1021,31 / 25
20201_ANTH.html,ANTH    121,L&S,4.0,Optional,W,12:00pm - 12:50pm,HSSB 1021,28 / 25
20201_ANTH.html,ANTH    129,L&S,4.0,Letter,T R,11:00am - 12:15pm,HSSB 2001A,35 / 35
20201_ANTH.html,ANTH    130,L&S,4.0,Optional,T R,2:00pm - 3:15pm,GIRV 2115,43 / 40
20201_ANTH.html,ANTH    131CA,L&S,4.0,Optional,M W,11:00am - 12:15pm,HSSB 1173,70 / 75
20201_ANTH.html,ANTH    135,L&S,4.0,Optional,M W,5:00pm - 6:15pm,BUCHN1934,27 / 25
20201_ANTH.html,ANTH    171,L&S,4.0,Letter,T R,12:30pm - 1:45pm,BUCHN1940,100 / 100
20201_ANTH.html,ANTH    176,L&S,4.0,Letter,M W,5:00pm - 6:15pm,EMBARHALL,57 / 60

20201_ANTH.html,ANTH    182,L&S,4.0,Letter,M W,9:30 am - 10:45am,PHELP1513,25 / 25
20201_ANTH.html,ANTH    182M,L&S,4.0,Letter,T R,11:00am - 12:15pm,HSSB 1214,25 / 25

20201_ANTH.html,ANTH    186Z,L&S,4.0,Optional,M W,11:00am - 12:15pm,HSSB 1021,16 / 15

20201_ANTH.html,ANTH    194P,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 10
20201_ANTH.html,ANTH    195B,L&S,4.0,Letter,N/A,N/A,N/A,0 / 10
20201_ANTH.html,ANTH    195C,L&S,4.0,Letter,N/A,N/A,N/A,0 / 10
20201_ANTH.html,ANTH    197JH,L&S,4.0,Optional,M,1:00pm - 3:50pm,HSSB 2001A,5 / 15
20201_ANTH.html,ANTH    198,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 15
20201_ANTH.html,ANTH    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 20
20201_ANTH.html,ANTH    199RA,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 10
20201_CHEM.html,CHEM      1A,L&S,3.0,Optional,M W F,11:00am - 11:50am,CHEM 1179,306 / 354
20201_CHEM.html,CHEM      1A,L&S,3.0,Optional,M W F,12:00pm - 12:50pm,CHEM 1179,209 / 354
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,T,8:00 am - 10:30am,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,T,8:00 am - 10:30am,PSB-N2653,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,T,11:00am - 1:30pm,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,T,11:00am - 1:30pm,PSB-N2653,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,T,2:00pm - 4:30pm,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,T,2:00pm - 4:30pm,PSB-N2653,0 / 20
